timestamp,user_id,source_ip,destination_ip,protocol,bytes_transferred,login_attempts,failed_logins,access_type,resource_type,cpu_usage,memory_usage,network_latency,anomaly_score,label
2026-03-4 2:59:29,user_150,192.168.10.149,10.0.18.12,FTP,68482,10,0,Console,Storage,78.14,40.3,54.39,0.219,Intrusion
2026-03-14 8:52:59,user_17,192.168.186.157,10.0.125.7,UDP,91836,6,3,Web,VM,36.87,63.31,431.95,0.19,Insider
2026-03-5 19:9:2,user_115,192.168.133.107,10.0.204.90,HTTPS,71964,1,1,SSH,Container,75.43,67.39,224.3,0.745,Normal
2026-03-23 4:36:47,user_51,192.168.166.77,10.0.93.44,HTTP,85306,1,5,SSH,Container,15.55,20.69,43.92,0.628,Intrusion
2026-03-10 5:54:4,user_62,192.168.158.143,10.0.109.8,SSH,71131,5,2,Database,Database,57.19,18.97,415.67,0.514,DDoS
2026-03-7 7:49:7,user_77,192.168.93.240,10.0.81.26,TCP,27407,3,1,Web,Database,5.32,71.88,339.9,0.134,Intrusion
2026-03-24 9:21:7,user_27,192.168.241.238,10.0.105.2,ICMP,72554,10,0,Console,VM,40.48,48.52,312.85,0.801,DDoS
2026-03-20 18:11:28,user_40,192.168.250.69,10.0.67.215,TCP,21087,8,0,API,Container,91.46,46.48,56.94,0.999,Malware
2026-03-19 5:6:58,user_96,192.168.145.94,10.0.199.196,FTP,76635,1,5,Web,Storage,59.53,55.53,154.87,0.32,Normal
2026-03-24 21:11:30,user_186,192.168.138.223,10.0.199.237,FTP,98563,1,1,Web,Container,74.66,24.07,425.32,0.546,Normal
2026-03-28 13:27:19,user_70,192.168.23.195,10.0.110.128,TCP,74828,4,3,SSH,Database,75.09,62.69,499.84,0.343,Malware
2026-03-2 22:5:3,user_6,192.168.128.205,10.0.255.16,TCP,32258,3,3,Web,Database,92.95,47.21,344.51,0.385,Intrusion
2026-03-27 12:47:36,user_162,192.168.252.147,10.0.55.36,SSH,92437,1,1,API,Serverless,39.67,17.77,384.58,0.541,Intrusion
2026-03-24 16:27:13,user_48,192.168.152.238,10.0.86.87,HTTPS,68870,6,4,Web,VM,34.81,61.08,328.17,0.205,Insider
2026-03-7 19:55:12,user_29,192.168.118.151,10.0.195.187,FTP,73138,7,0,Web,Container,14.49,59.85,242.96,0.203,Malware
2026-03-4 8:29:57,user_200,192.168.45.116,10.0.218.76,SSH,89850,3,0,Database,VM,61.6,17.22,469.07,0.433,Normal
2026-03-25 14:12:15,user_169,192.168.154.89,10.0.7.249,TCP,42315,6,1,SSH,Container,86.36,17.79,91.8,0.696,Malware
2026-03-1 10:59:26,user_127,192.168.212.47,10.0.189.244,UDP,53908,2,1,SSH,Database,68.52,62.49,159.81,0.413,Normal
2026-03-20 17:7:54,user_156,192.168.215.124,10.0.115.7,FTP,69608,8,1,API,Storage,16.01,50.77,266.28,0.991,Intrusion
2026-03-22 14:42:8,user_44,192.168.12.193,10.0.11.153,UDP,62178,6,3,Database,Storage,26.1,90.4,407.8,0.696,Insider
2026-03-8 12:58:43,user_175,192.168.220.219,10.0.112.240,ICMP,63934,5,3,Console,VM,57.32,86.23,344.9,0.171,Intrusion
2026-03-19 1:34:31,user_55,192.168.161.250,10.0.114.61,FTP,71245,3,2,API,Storage,16.88,41.47,248.77,0.527,DDoS
2026-03-12 13:46:7,user_122,192.168.142.164,10.0.198.157,SSH,92517,8,0,SSH,Database,88.66,20.91,474.69,0.087,DDoS
2026-03-3 2:20:10,user_26,192.168.177.165,10.0.169.183,ICMP,12975,7,2,API,Serverless,58.47,87.63,487.67,0.536,Insider
2026-03-3 9:29:20,user_56,192.168.69.133,10.0.21.3,SSH,94620,4,4,Console,Container,63.65,62.07,221.37,0.573,Malware
2026-03-16 19:42:46,user_71,192.168.16.8,10.0.116.101,HTTP,64942,2,5,Database,Container,21.28,19.43,217.21,0.79,Normal
2026-03-25 12:39:8,user_68,192.168.249.55,10.0.25.86,SSH,37967,4,4,Database,Serverless,81.94,71.23,13.5,0.114,Intrusion
2026-03-19 12:2:33,user_148,192.168.177.13,10.0.251.32,TCP,46667,3,1,API,Serverless,69.5,65.66,262.54,0.455,DDoS
2026-03-6 4:49:52,user_101,192.168.13.103,10.0.244.44,TCP,45521,5,0,Web,Serverless,19.4,90.05,80.79,0.815,Normal
2026-03-17 10:17:58,user_178,192.168.74.175,10.0.228.250,UDP,68231,9,0,Database,Storage,24.54,52.99,443.54,0.052,Intrusion
2026-03-11 13:18:5,user_19,192.168.108.216,10.0.182.5,UDP,10343,8,2,Database,Container,26.45,36.48,428.34,0.983,DDoS
2026-03-17 9:32:56,user_6,192.168.86.216,10.0.65.231,ICMP,27495,6,0,SSH,VM,50.75,52.27,183.05,0.286,Intrusion
2026-03-25 18:42:2,user_50,192.168.50.32,10.0.89.55,TCP,82707,10,5,Console,Database,55.31,10.6,421.91,0.996,Malware
2026-03-20 1:7:53,user_149,192.168.144.155,10.0.91.177,TCP,6951,2,2,SSH,VM,7.83,68.86,38.7,0.44,Insider
2026-03-6 6:41:55,user_103,192.168.23.249,10.0.225.228,SSH,6230,6,2,Console,Serverless,10.25,97.1,357.59,0.327,Malware
2026-03-22 16:15:20,user_155,192.168.160.184,10.0.53.59,ICMP,30079,10,1,Database,Serverless,6.94,40.44,451.94,0.479,DDoS
2026-03-25 23:10:49,user_177,192.168.179.115,10.0.223.160,TCP,37595,7,0,SSH,Serverless,87.9,27.07,375.72,0.093,Insider
2026-03-22 14:50:19,user_186,192.168.25.202,10.0.10.101,TCP,9435,9,0,SSH,Serverless,49.99,95.79,162.36,0.523,Insider
2026-03-11 3:19:50,user_116,192.168.200.112,10.0.247.229,HTTPS,31689,7,0,Web,VM,26.06,47.81,399.39,0.23,DDoS
2026-03-22 17:4:27,user_68,192.168.81.241,10.0.67.14,HTTPS,88229,10,1,API,Container,76.06,19.64,274.66,0.58,Normal
2026-03-25 18:36:47,user_174,192.168.183.69,10.0.20.168,UDP,89294,9,3,API,Container,31.57,12.91,63.61,0.578,Normal
2026-03-9 22:17:30,user_173,192.168.41.135,10.0.76.207,SSH,99409,8,5,API,Database,80.7,79.63,422.98,0.447,Malware
2026-03-16 14:2:33,user_39,192.168.19.165,10.0.94.180,HTTP,54887,8,0,API,Serverless,72.26,78.81,208.75,0.913,Insider
2026-03-9 10:55:39,user_2,192.168.127.231,10.0.200.143,FTP,36391,8,3,Database,Serverless,12.5,51.54,358.25,0.46,Intrusion
2026-03-1 4:49:41,user_62,192.168.137.42,10.0.96.72,HTTPS,94089,3,5,Database,VM,93.02,25.63,137.64,0.593,Malware
2026-03-1 10:43:3,user_99,192.168.44.215,10.0.222.68,ICMP,25099,8,4,Web,Serverless,16.31,79.32,28.85,0.776,Insider
2026-03-14 12:10:50,user_68,192.168.191.246,10.0.208.45,ICMP,66066,1,3,SSH,Container,25.1,85.22,55.62,0.16,Malware
2026-03-27 6:51:20,user_24,192.168.196.195,10.0.181.1,FTP,15817,1,2,Console,Serverless,81.92,36.63,267.3,0.784,Intrusion
2026-03-15 3:36:34,user_49,192.168.219.120,10.0.174.73,TCP,95219,8,5,SSH,Database,53.08,95.02,58.79,0.677,Normal
2026-03-22 2:59:20,user_169,192.168.152.193,10.0.100.68,FTP,17614,3,2,Database,VM,62.58,58.32,78.83,0.663,Intrusion
2026-03-15 2:29:6,user_191,192.168.4.208,10.0.181.180,TCP,51255,1,3,Console,Serverless,21.0,49.77,270.34,0.014,Malware
2026-03-12 13:12:46,user_54,192.168.212.89,10.0.146.144,FTP,73235,10,2,API,VM,18.98,91.07,306.13,0.982,Intrusion
2026-03-7 17:37:36,user_67,192.168.45.67,10.0.12.61,HTTP,29123,5,4,Web,Container,94.36,32.5,377.52,0.967,Normal
2026-03-13 12:52:9,user_51,192.168.62.211,10.0.108.206,FTP,14827,7,5,API,Container,86.17,25.51,313.28,0.428,Insider
2026-03-10 9:52:50,user_94,192.168.126.168,10.0.96.19,TCP,69576,5,5,Web,VM,32.3,58.12,57.88,0.182,Normal
2026-03-16 1:14:5,user_111,192.168.15.87,10.0.203.68,ICMP,3965,8,1,API,Container,84.26,15.01,316.73,0.926,Insider
2026-03-24 1:13:21,user_114,192.168.147.162,10.0.204.144,UDP,86002,10,3,API,Database,60.41,23.01,380.48,0.522,Insider
2026-03-4 1:54:7,user_4,192.168.128.254,10.0.96.91,TCP,6196,8,2,SSH,Database,33.99,10.98,191.59,0.631,Intrusion
2026-03-25 12:53:22,user_16,192.168.9.101,10.0.82.102,HTTP,28855,7,5,Database,Database,50.7,45.45,383.92,0.307,DDoS
2026-03-2 11:28:38,user_18,192.168.58.44,10.0.193.47,SSH,16481,10,5,Database,VM,13.96,68.63,372.95,0.331,Normal
2026-03-11 8:58:26,user_158,192.168.10.192,10.0.127.254,ICMP,34719,5,1,SSH,Database,36.87,73.55,186.72,0.475,Insider
2026-03-25 6:1:9,user_192,192.168.77.242,10.0.154.217,FTP,79317,5,0,Database,Serverless,90.23,43.65,214.48,0.874,Malware
2026-03-2 10:20:25,user_162,192.168.174.223,10.0.86.24,HTTP,97571,8,3,Database,Container,73.03,85.58,40.63,0.05,Intrusion
2026-03-17 15:26:15,user_177,192.168.168.237,10.0.65.58,FTP,4469,4,5,Web,Database,59.23,97.98,180.19,0.211,Insider
2026-03-17 1:39:23,user_61,192.168.68.78,10.0.157.224,TCP,46658,1,3,API,Database,30.77,82.44,498.36,0.743,Intrusion
2026-03-22 4:34:35,user_70,192.168.236.176,10.0.228.90,FTP,16820,5,2,SSH,Serverless,84.22,46.66,116.26,0.805,DDoS
2026-03-7 6:29:54,user_188,192.168.95.232,10.0.217.70,UDP,66790,3,3,SSH,Storage,26.93,87.76,481.52,0.982,Intrusion
2026-03-25 3:49:59,user_191,192.168.86.42,10.0.214.249,HTTP,96052,10,0,SSH,Database,35.41,31.63,238.37,0.077,Malware
2026-03-21 10:40:53,user_64,192.168.219.27,10.0.125.51,HTTPS,99525,9,5,Console,Container,35.75,29.61,7.75,0.598,Malware
2026-03-1 20:8:56,user_53,192.168.2.85,10.0.221.37,SSH,48787,7,2,API,VM,30.68,28.75,472.28,0.587,Insider
2026-03-18 6:41:39,user_190,192.168.174.153,10.0.98.23,FTP,41474,2,2,API,Storage,51.04,26.16,416.94,0.177,DDoS
2026-03-9 2:56:57,user_85,192.168.105.170,10.0.210.236,HTTP,66020,7,2,SSH,Serverless,10.9,83.37,33.39,0.033,Malware
2026-03-24 14:2:43,user_78,192.168.221.106,10.0.166.127,ICMP,72789,5,0,Database,Storage,50.67,35.73,282.83,0.025,Normal
2026-03-26 7:22:50,user_49,192.168.17.161,10.0.54.192,HTTP,14968,7,2,Web,Serverless,67.37,68.84,378.91,0.574,Normal
2026-03-17 16:43:55,user_32,192.168.220.61,10.0.250.57,UDP,50031,1,0,Database,Container,9.13,91.78,305.34,0.08,DDoS
2026-03-5 9:30:2,user_81,192.168.194.54,10.0.100.213,UDP,39249,10,2,Database,Storage,68.33,74.27,237.9,0.793,DDoS
2026-03-13 2:53:30,user_196,192.168.76.14,10.0.123.60,ICMP,60976,7,4,Database,Storage,33.16,53.24,353.56,0.703,Normal
2026-03-1 4:34:12,user_32,192.168.171.221,10.0.246.237,FTP,60697,8,5,API,Storage,9.59,85.66,430.15,0.794,Normal
2026-03-18 21:50:50,user_181,192.168.163.37,10.0.6.157,FTP,54111,5,0,API,Serverless,57.09,88.95,223.7,0.495,Malware
2026-03-2 4:44:51,user_148,192.168.210.12,10.0.28.2,SSH,74870,4,0,SSH,Database,55.47,63.37,471.27,0.271,Intrusion
2026-03-25 22:29:50,user_123,192.168.46.210,10.0.246.69,HTTPS,89348,8,1,Web,Database,91.24,40.69,204.66,0.486,DDoS
2026-03-12 5:20:3,user_192,192.168.213.6,10.0.56.128,ICMP,50975,3,5,SSH,VM,22.14,45.41,381.2,0.602,Malware
2026-03-27 4:11:27,user_173,192.168.34.94,10.0.232.244,ICMP,86925,2,2,Web,VM,19.3,47.25,194.4,0.982,Malware
2026-03-16 17:1:2,user_118,192.168.40.119,10.0.116.155,HTTP,15494,9,3,Web,Storage,76.86,22.29,39.7,0.288,Normal
2026-03-8 23:37:46,user_188,192.168.229.11,10.0.152.66,SSH,90619,1,3,SSH,Serverless,87.01,97.82,89.19,0.012,DDoS
2026-03-21 17:57:25,user_14,192.168.1.178,10.0.202.250,UDP,79270,1,5,Database,VM,64.52,81.06,157.99,0.35,Insider
2026-03-13 16:8:25,user_192,192.168.129.28,10.0.124.131,SSH,32556,7,4,Console,Storage,45.16,66.2,266.28,0.842,Normal
