timestamp,user_id,source_ip,destination_ip,protocol,bytes_transferred,login_attempts,failed_logins,access_type,resource_type,cpu_usage,memory_usage,network_latency,anomaly_score
04-03-2026 02:59,user_150,192.168.10.149,10.0.18.12,FTP,68482,10,0,Console,Storage,78.14,40.3,54.39,0.219
14-03-2026 08:52,user_17,192.168.186.157,10.0.125.7,UDP,91836,6,3,Web,VM,36.87,63.31,431.95,0.19
05-03-2026 19:09,user_115,192.168.133.107,10.0.204.90,HTTPS,71964,1,1,SSH,Container,75.43,67.39,224.3,0.745
23-03-2026 04:36,user_51,192.168.166.77,10.0.93.44,HTTP,85306,1,5,SSH,Container,15.55,20.69,43.92,0.628
10-03-2026 05:54,user_62,192.168.158.143,10.0.109.8,SSH,71131,5,2,Database,Database,57.19,18.97,415.67,0.514
07-03-2026 07:49,user_77,192.168.93.240,10.0.81.26,TCP,27407,3,1,Web,Database,5.32,71.88,339.9,0.134
24-03-2026 09:21,user_27,192.168.241.238,10.0.105.2,ICMP,72554,10,0,Console,VM,40.48,48.52,312.85,0.801
20-03-2026 18:11,user_40,192.168.250.69,10.0.67.215,TCP,21087,8,0,API,Container,91.46,46.48,56.94,0.999
19-03-2026 05:06,user_96,192.168.145.94,10.0.199.196,FTP,76635,1,5,Web,Storage,59.53,55.53,154.87,0.32
24-03-2026 21:11,user_186,192.168.138.223,10.0.199.237,FTP,98563,1,1,Web,Container,74.66,24.07,425.32,0.546
28-03-2026 13:27,user_70,192.168.23.195,10.0.110.128,TCP,74828,4,3,SSH,Database,75.09,62.69,499.84,0.343
02-03-2026 22:05,user_6,192.168.128.205,10.0.255.16,TCP,32258,3,3,Web,Database,92.95,47.21,344.51,0.385
27-03-2026 12:47,user_162,192.168.252.147,10.0.55.36,SSH,92437,1,1,API,Serverless,39.67,17.77,384.58,0.541
24-03-2026 16:27,user_48,192.168.152.238,10.0.86.87,HTTPS,68870,6,4,Web,VM,34.81,61.08,328.17,0.205
07-03-2026 19:55,user_29,192.168.118.151,10.0.195.187,FTP,73138,7,0,Web,Container,14.49,59.85,242.96,0.203
04-03-2026 08:29,user_200,192.168.45.116,10.0.218.76,SSH,89850,3,0,Database,VM,61.6,17.22,469.07,0.433
25-03-2026 14:12,user_169,192.168.154.89,10.0.7.249,TCP,42315,6,1,SSH,Container,86.36,17.79,91.8,0.696
01-03-2026 10:59,user_127,192.168.212.47,10.0.189.244,UDP,53908,2,1,SSH,Database,68.52,62.49,159.81,0.413
20-03-2026 17:07,user_156,192.168.215.124,10.0.115.7,FTP,69608,8,1,API,Storage,16.01,50.77,266.28,0.991
22-03-2026 14:42,user_44,192.168.12.193,10.0.11.153,UDP,62178,6,3,Database,Storage,26.1,90.4,407.8,0.696
08-03-2026 12:58,user_175,192.168.220.219,10.0.112.240,ICMP,63934,5,3,Console,VM,57.32,86.23,344.9,0.171
19-03-2026 01:34,user_55,192.168.161.250,10.0.114.61,FTP,71245,3,2,API,Storage,16.88,41.47,248.77,0.527
12-03-2026 13:46,user_122,192.168.142.164,10.0.198.157,SSH,92517,8,0,SSH,Database,88.66,20.91,474.69,0.087
03-03-2026 02:20,user_26,192.168.177.165,10.0.169.183,ICMP,12975,7,2,API,Serverless,58.47,87.63,487.67,0.536
03-03-2026 09:29,user_56,192.168.69.133,10.0.21.3,SSH,94620,4,4,Console,Container,63.65,62.07,221.37,0.573
16-03-2026 19:42,user_71,192.168.16.8,10.0.116.101,HTTP,64942,2,5,Database,Container,21.28,19.43,217.21,0.79
25-03-2026 12:39,user_68,192.168.249.55,10.0.25.86,SSH,37967,4,4,Database,Serverless,81.94,71.23,13.5,0.114
19-03-2026 12:02,user_148,192.168.177.13,10.0.251.32,TCP,46667,3,1,API,Serverless,69.5,65.66,262.54,0.455
06-03-2026 04:49,user_101,192.168.13.103,10.0.244.44,TCP,45521,5,0,Web,Serverless,19.4,90.05,80.79,0.815
17-03-2026 10:17,user_178,192.168.74.175,10.0.228.250,UDP,68231,9,0,Database,Storage,24.54,52.99,443.54,0.052
11-03-2026 13:18,user_19,192.168.108.216,10.0.182.5,UDP,10343,8,2,Database,Container,26.45,36.48,428.34,0.983
17-03-2026 09:32,user_6,192.168.86.216,10.0.65.231,ICMP,27495,6,0,SSH,VM,50.75,52.27,183.05,0.286
25-03-2026 18:42,user_50,192.168.50.32,10.0.89.55,TCP,82707,10,5,Console,Database,55.31,10.6,421.91,0.996
20-03-2026 01:07,user_149,192.168.144.155,10.0.91.177,TCP,6951,2,2,SSH,VM,7.83,68.86,38.7,0.44
06-03-2026 06:41,user_103,192.168.23.249,10.0.225.228,SSH,6230,6,2,Console,Serverless,10.25,97.1,357.59,0.327
22-03-2026 16:15,user_155,192.168.160.184,10.0.53.59,ICMP,30079,10,1,Database,Serverless,6.94,40.44,451.94,0.479
25-03-2026 23:10,user_177,192.168.179.115,10.0.223.160,TCP,37595,7,0,SSH,Serverless,87.9,27.07,375.72,0.093
22-03-2026 14:50,user_186,192.168.25.202,10.0.10.101,TCP,9435,9,0,SSH,Serverless,49.99,95.79,162.36,0.523
11-03-2026 03:19,user_116,192.168.200.112,10.0.247.229,HTTPS,31689,7,0,Web,VM,26.06,47.81,399.39,0.23
22-03-2026 17:04,user_68,192.168.81.241,10.0.67.14,HTTPS,88229,10,1,API,Container,76.06,19.64,274.66,0.58
25-03-2026 18:36,user_174,192.168.183.69,10.0.20.168,UDP,89294,9,3,API,Container,31.57,12.91,63.61,0.578
09-03-2026 22:17,user_173,192.168.41.135,10.0.76.207,SSH,99409,8,5,API,Database,80.7,79.63,422.98,0.447
16-03-2026 14:02,user_39,192.168.19.165,10.0.94.180,HTTP,54887,8,0,API,Serverless,72.26,78.81,208.75,0.913
09-03-2026 10:55,user_2,192.168.127.231,10.0.200.143,FTP,36391,8,3,Database,Serverless,12.5,51.54,358.25,0.46
01-03-2026 04:49,user_62,192.168.137.42,10.0.96.72,HTTPS,94089,3,5,Database,VM,93.02,25.63,137.64,0.593
01-03-2026 10:43,user_99,192.168.44.215,10.0.222.68,ICMP,25099,8,4,Web,Serverless,16.31,79.32,28.85,0.776
14-03-2026 12:10,user_68,192.168.191.246,10.0.208.45,ICMP,66066,1,3,SSH,Container,25.1,85.22,55.62,0.16
27-03-2026 06:51,user_24,192.168.196.195,10.0.181.1,FTP,15817,1,2,Console,Serverless,81.92,36.63,267.3,0.784
15-03-2026 03:36,user_49,192.168.219.120,10.0.174.73,TCP,95219,8,5,SSH,Database,53.08,95.02,58.79,0.677
22-03-2026 02:59,user_169,192.168.152.193,10.0.100.68,FTP,17614,3,2,Database,VM,62.58,58.32,78.83,0.663
15-03-2026 02:29,user_191,192.168.4.208,10.0.181.180,TCP,51255,1,3,Console,Serverless,21,49.77,270.34,0.014
12-03-2026 13:12,user_54,192.168.212.89,10.0.146.144,FTP,73235,10,2,API,VM,18.98,91.07,306.13,0.982
07-03-2026 17:37,user_67,192.168.45.67,10.0.12.61,HTTP,29123,5,4,Web,Container,94.36,32.5,377.52,0.967
13-03-2026 12:52,user_51,192.168.62.211,10.0.108.206,FTP,14827,7,5,API,Container,86.17,25.51,313.28,0.428
10-03-2026 09:52,user_94,192.168.126.168,10.0.96.19,TCP,69576,5,5,Web,VM,32.3,58.12,57.88,0.182
16-03-2026 01:14,user_111,192.168.15.87,10.0.203.68,ICMP,3965,8,1,API,Container,84.26,15.01,316.73,0.926
24-03-2026 01:13,user_114,192.168.147.162,10.0.204.144,UDP,86002,10,3,API,Database,60.41,23.01,380.48,0.522
04-03-2026 01:54,user_4,192.168.128.254,10.0.96.91,TCP,6196,8,2,SSH,Database,33.99,10.98,191.59,0.631
25-03-2026 12:53,user_16,192.168.9.101,10.0.82.102,HTTP,28855,7,5,Database,Database,50.7,45.45,383.92,0.307
02-03-2026 11:28,user_18,192.168.58.44,10.0.193.47,SSH,16481,10,5,Database,VM,13.96,68.63,372.95,0.331
11-03-2026 08:58,user_158,192.168.10.192,10.0.127.254,ICMP,34719,5,1,SSH,Database,36.87,73.55,186.72,0.475
25-03-2026 06:01,user_192,192.168.77.242,10.0.154.217,FTP,79317,5,0,Database,Serverless,90.23,43.65,214.48,0.874
02-03-2026 10:20,user_162,192.168.174.223,10.0.86.24,HTTP,97571,8,3,Database,Container,73.03,85.58,40.63,0.05
17-03-2026 15:26,user_177,192.168.168.237,10.0.65.58,FTP,4469,4,5,Web,Database,59.23,97.98,180.19,0.211
17-03-2026 01:39,user_61,192.168.68.78,10.0.157.224,TCP,46658,1,3,API,Database,30.77,82.44,498.36,0.743
22-03-2026 04:34,user_70,192.168.236.176,10.0.228.90,FTP,16820,5,2,SSH,Serverless,84.22,46.66,116.26,0.805
